"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"x","x","u","x","x","u","r","r","x","x"
"x","x","x","x","r","u","r","r","x","x"
"x","x","x","x","r","u","r","r","x","x"
"x","x","x","x","r","u","r","r","x","u"
"x","x","x","x","r","u","r","r","x","u"
"x","u","r","r","x","u","u","r","x","x"
"x","u","r","r","x","u","u","r","x","x"
"r","u","r","r","x","u","r","r","x","x"
"r","u","r","r","x","u","r","r","x","x"
"x","u","x","x","u","u","u","r","x","u"
"x","u","x","x","u","u","u","r","x","u"
"x","u","u","u","u","u","r","r","r","u"
"x","u","u","u","u","u","r","r","r","u"
"x","u","u","u","u","u","r","r","r","u"
"x","u","u","u","u","u","r","r","r","u"
"u","u","u","x","x","u","r","r","r","u"
"u","u","u","x","x","u","r","x","r","u"
"x","u","u","x","u","u","r","r","r","u"
"x","u","u","x","u","u","r","r","r","u"
"r","r","u","u","x","u","r","r","r","u"
"r","r","u","u","x","u","r","r","r","u"
"r","r","u","u","x","u","r","r","r","u"
"r","u","u","u","x","u","x","u","r","u"
"r","u","u","u","x","u","x","u","r","u"
"r","u","u","u","x","u","x","u","r","u"
"r","u","u","u","x","u","x","u","r","u"
"x","u","r","r","r","u","r","r","x","u"
"x","u","r","r","r","u","r","r","x","u"
"x","x","r","r","r","u","r","r","x","u"
"x","x","r","r","r","u","r","r","x","u"
"x","u","r","r","r","u","x","r","x","u"
"x","u","r","r","r","u","x","r","x","u"
"x","u","r","r","r","u","r","r","x","x"
"r","u","u","r","x","u","u","r","r","u"
"r","u","u","r","u","u","u","r","r","u"
"r","u","u","r","x","u","u","r","r","u"
"r","u","u","r","x","u","u","r","r","u"
"r","u","u","r","x","u","x","r","x","u"
"r","u","u","r","x","u","x","r","x","u"
"r","u","u","r","x","u","x","r","x","u"
"r","u","u","r","x","u","x","r","x","u"
"r","u","u","r","x","u","x","r","x","u"
"x","u","u","x","r","u","u","x","r","u"
"r","u","u","x","u","u","u","u","x","u"
"r","u","u","x","u","u","u","u","x","u"
"r","u","u","x","u","u","u","u","x","u"
"r","u","u","u","u","u","u","u","u","u"
"r","u","u","u","x","u","u","u","r","u"
"r","u","u","u","x","u","u","u","r","u"
"u","u","u","x","u","u","u","r","u","u"
"u","u","u","x","u","u","u","r","u","u"
"r","u","u","x","u","u","u","u","r","u"
"u","u","u","x","u","u","r","u","r","u"
"r","u","u","r","u","u","u","u","u","u"
"u","u","u","r","x","u","u","r","u","u"
"r","u","u","r","x","u","u","r","x","u"
"r","u","u","r","x","u","u","r","x","u"
"r","u","u","x","u","u","u","u","r","u"
"r","u","u","x","u","u","u","u","r","u"
"x","u","u","x","x","u","u","r","r","u"
"x","u","u","x","x","u","u","r","r","u"
"x","u","u","x","u","u","u","r","r","u"
"x","u","u","x","u","u","u","r","r","u"
"r","u","u","r","x","u","u","u","x","u"
"r","u","u","r","x","u","r","u","x","u"
"r","u","x","x","u","x","u","x","x","x"
"r","u","u","r","u","u","u","u","u","u"
"r","u","u","u","u","u","u","x","u","u"
"r","u","u","u","u","u","u","u","u","u"
"u","u","u","x","x","u","u","r","x","u"
"u","u","u","x","x","u","u","r","x","u"
"u","u","x","x","u","u","u","r","u","u"
"u","u","x","x","u","u","u","r","u","u"
"u","u","u","u","u","u","x","u","r","u"
"u","u","u","u","u","u","x","u","r","u"
"u","u","u","u","u","u","x","u","r","u"
"u","u","u","u","u","u","x","u","r","u"
"u","u","u","u","u","u","x","r","r","u"
"u","u","u","u","u","u","x","r","r","u"
"u","u","u","u","u","u","u","r","u","u"
"r","u","x","u","r","r","u","r","r","u"
"r","u","r","u","r","r","u","r","r","u"
"r","u","r","u","r","r","u","x","u","u"
"u","u","x","x","x","u","u","r","x","u"
"u","u","x","r","x","u","r","r","r","u"
"u","u","x","r","x","u","r","r","r","u"
"r","u","r","x","x","u","u","x","r","u"
"r","u","r","x","x","u","u","x","r","u"
"r","u","r","x","x","u","u","x","r","u"
"r","u","r","x","x","u","u","x","r","u"
"x","u","u","x","r","u","u","x","r","u"
"x","u","u","x","r","u","u","x","r","u"
"x","u","u","x","r","u","u","x","r","u"
"x","u","u","x","r","u","u","x","r","u"
"r","u","u","x","u","u","u","r","r","u"
"r","u","u","x","u","u","u","r","r","u"
"r","u","u","x","u","u","u","r","r","u"
"r","u","u","x","u","u","u","r","r","u"
"r","u","u","x","u","u","u","u","r","u"
"r","u","u","x","u","u","u","u","r","u"
"u","u","u","u","u","u","u","u","x","u"
"u","u","u","x","u","u","u","u","u","u"
"u","u","u","u","u","u","u","u","u","u"
"u","u","u","u","u","u","u","u","u","u"
"u","u","u","u","u","u","x","u","x","u"
"u","u","u","u","u","u","x","u","x","u"
"u","u","u","r","u","u","u","u","x","u"
"x","u","r","x","r","u","r","r","x","u"
"x","u","r","x","r","u","r","r","x","u"
"x","u","x","x","r","u","r","r","x","u"
"x","u","r","x","r","u","r","r","x","u"
"r","u","u","u","u","u","r","x","x","u"
"u","u","u","u","x","u","u","u","x","u"
"x","u","x","u","r","u","x","x","r","u"
"u","u","u","u","u","x","r","x","x","u"
"u","u","u","u","u","u","x","u","r","u"
"u","u","u","u","u","u","u","u","u","u"
"u","u","u","u","u","u","u","u","u","u"
"u","u","x","u","x","x","x","x","u","u"
"u","u","u","u","u","u","u","u","u","u"
"u","u","u","x","u","u","u","r","r","u"
"u","u","u","u","u","u","u","r","u","u"
"u","u","u","u","u","u","u","r","u","u"
"x","u","x","x","r","u","r","r","r","u"
"x","u","x","x","r","u","r","x","x","x"
"x","u","u","x","r","u","u","r","r","u"
"r","u","u","r","x","u","u","r","r","u"
"r","u","u","r","r","u","u","r","x","x"
"r","u","u","r","r","u","u","r","x","x"
"r","u","u","r","r","u","u","r","x","x"
"r","u","r","r","x","u","r","r","r","u"
"r","u","x","r","x","u","r","r","r","u"
"r","u","r","r","x","u","r","r","r","u"
"r","u","u","x","r","u","u","r","r","u"
"r","u","u","x","r","u","u","r","r","u"
"r","u","u","x","x","u","u","r","r","u"
"r","u","u","x","x","u","u","r","r","u"
"r","u","u","x","u","u","u","x","x","u"
"r","u","u","x","u","u","u","x","x","u"
"r","u","u","x","u","u","u","x","x","u"
"r","u","u","x","r","u","u","x","r","u"
"r","u","r","r","r","u","u","x","r","u"
"r","u","u","r","r","u","u","x","r","u"
"r","u","x","r","x","u","u","x","r","u"
"r","u","u","r","r","u","r","r","r","u"
"r","u","u","r","r","u","r","r","r","u"
"x","u","r","r","r","u","r","r","r","u"
"x","u","r","r","r","u","u","r","r","u"
"x","u","x","r","u","u","u","x","x","u"
"x","u","x","r","r","u","r","x","x","u"
"u","u","x","x","r","u","r","x","x","u"
"u","u","x","x","r","u","u","x","x","u"
"u","u","u","r","u","u","u","u","u","u"
"u","u","u","r","u","u","u","x","x","u"
"u","u","u","r","u","u","u","u","u","u"
"r","u","u","x","u","u","u","r","u","u"
"u","u","u","u","u","u","u","u","u","u"
"u","u","u","u","u","u","u","u","u","u"
"r","u","u","u","u","u","u","u","u","u"
"r","u","u","u","u","u","u","u","u","u"
"u","u","u","u","u","u","u","x","x","u"
"u","u","u","u","u","u","x","u","u","u"
"r","u","u","x","u","u","u","x","x","u"
"u","u","u","x","u","u","u","u","r","u"
"u","u","u","x","u","u","u","u","r","u"
"r","u","x","x","x","x","r","x","x","x"
"r","u","x","x","x","x","x","x","x","u"
"u","u","u","u","u","x","r","x","x","u"
"u","u","u","x","u","u","u","u","r","u"
"u","u","u","r","u","u","u","u","r","u"
"u","u","u","u","u","u","r","r","x","u"
"u","u","u","u","u","u","r","r","x","u"
"u","u","u","u","u","u","x","r","x","u"
"u","u","u","u","u","u","r","r","x","u"
"u","u","u","u","x","x","x","x","u","u"
"x","u","u","u","u","u","u","u","u","u"
"u","u","u","u","u","u","u","u","u","u"
"u","u","u","u","u","u","u","u","u","u"
"u","u","u","u","u","u","u","x","x","u"
"u","u","x","r","x","u","x","x","u","x"
"u","u","u","u","u","u","u","u","x","u"
"r","u","u","x","u","u","u","r","u","u"
"r","u","u","x","u","u","u","r","u","u"
"r","u","u","x","u","u","u","r","u","u"
"u","u","u","u","u","u","u","u","x","u"
"u","u","u","u","u","u","u","x","r","u"
"u","u","u","u","u","u","u","x","x","x"
"x","u","x","r","x","x","u","x","u","u"
"u","u","u","u","u","u","u","u","x","x"
"r","u","x","x","x","x","x","x","x","x"
"r","u","x","x","x","u","u","x","r","u"
"x","u","u","r","r","u","u","r","r","u"
"x","u","u","r","r","u","u","r","r","u"
